연번,업종명,업소명,소재지도로명,소재지지번,업태명
237,휴게음식점,텐퍼센트 정평역봉춘점,"경상북도 경산시 대학로 58, 경산2차우방맨션 111동 1호 (정평동)",경상북도 경산시 정평동 138-4 경산2차우방맨션 111동 1호,커피숍
238,휴게음식점,곰곰 테이크아웃(gomgom),경상북도 경산시 경안로 172 (중방동),경상북도 경산시 중방동 879-1 ,커피숍
239,휴게음식점,아지트(AZIT)8-1,"경상북도 경산시 하양읍 아낙고개길 8-1, 시온빌딩 2층",경상북도 경산시 하양읍 금락리 114-3 시온빌딩 2층 ,커피숍
240,휴게음식점,윌로우(Willow)반곡 247,경상북도 경산시 남산면 반지길 192,경상북도 경산시 남산면 반곡리 247 ,커피숍
241,휴게음식점,캔버스 진량 호반점,"경상북도 경산시 진량읍 선항4길 27, 1층",경상북도 경산시 진량읍 선화리 2126 1층 ,커피숍
242,휴게음식점,매스커피 영남대정문점,"경상북도 경산시 대학로 283, 1층 (대동)",경상북도 경산시 대동 164-1 1층 ,커피숍
243,휴게음식점,오던,경상북도 경산시 압량읍 압독로 199,경상북도 경산시 압량읍 당음리 237-1 ,커피숍
244,휴게음식점,너와나 커피(coffee),경상북도 경산시 백자로20길 44-1 (사동),경상북도 경산시 사동 669-4 ,커피숍
245,휴게음식점,카페 뷰,"경상북도 경산시 진량읍 일연로 720, 1~4층",경상북도 경산시 진량읍 선화리 405-7 1~4층 ,커피숍
246,휴게음식점,카페아이엔지,"경상북도 경산시 하양읍 하양로 13-13, 대구가톨릭대학교 인문대학 1층",경상북도 경산시 하양읍 금락리 산 35 대구가톨릭대학교 인문대학 1층 ,커피숍
247,휴게음식점,투썸플레이스 경산월드컵대로점,"경상북도 경산시 삼성현로 62, 2, 3층 (옥산동)","경상북도 경산시 옥산동 542-10 2, 3층 ",커피숍
248,휴게음식점,데일리103,"경상북도 경산시 경산로44길 8, 103호 (옥산동)",경상북도 경산시 옥산동 732-1 103호,커피숍
249,휴게음식점,카페봄봄 진량봉회점,"경상북도 경산시 진량읍 공단로 579, B동",경상북도 경산시 진량읍 봉회리 188 B동 ,커피숍
250,휴게음식점,므흣,경상북도 경산시 대학로44길 16 (계양동),경상북도 경산시 계양동 240-5 ,커피숍
251,휴게음식점,구스켓 인 더 크로플 본점,경상북도 경산시 대학로53길 16 (대동),경상북도 경산시 대동 133-10 ,커피숍
252,휴게음식점,빽다방 경산진량점,경상북도 경산시 진량읍 공단1로 2,경상북도 경산시 진량읍 신상리 419-1 ,커피숍
253,휴게음식점,팜어라운드,"경상북도 경산시 삼성현로 639, 주2동 1층 (평산동)",경상북도 경산시 평산동 554-4 주2동 1층 ,커피숍
254,휴게음식점,시장카페,"경상북도 경산시 경안로31길 19, 경산공설시장 A1-4호 (서상동)",경상북도 경산시 서상동 10 경산공설시장 A1-4호 ,커피숍
255,휴게음식점,몬스터커피,"경상북도 경산시 경산로 280, 501동 3호 (중산동, 중산 하늘채 더퍼스트)",경상북도 경산시 중산동 693 중산 하늘채 더퍼스트 501동 3호,커피숍
256,휴게음식점,마실커피(계양점),경상북도 경산시 중방로 116 (계양동),경상북도 경산시 계양동 239-2 ,커피숍
